patient,histology,config,source,target
3,AIS,all_cells_primary,AT2,Alveolar fibroblasts
3,AIS,all_cells_primary,Alveolar fibroblasts,AT2
3,AIS,cap500_seed1,AT2,Alveolar fibroblasts
3,AIS,cap500_seed1,Alveolar fibroblasts,AT2
3,AIS,cap500_seed2,AT2,Alveolar fibroblasts
3,AIS,cap500_seed2,Alveolar fibroblasts,AT2
3,AIS,floor30,AT2,Alveolar fibroblasts
3,AIS,floor30,Alveolar fibroblasts,AT2
3,AIS,floor30,Alveolar fibroblasts,Monocyte-derived Mph
3,AIS,floor30,Monocyte-derived Mph,AT2
3,AIS,floor30,Monocyte-derived Mph,Alveolar fibroblasts
3,AIS,floor100,AT2,Alveolar fibroblasts
3,AIS,floor100,Alveolar fibroblasts,AT2
3,AIS,expression005,AT2,Alveolar fibroblasts
3,AIS,expression005,Alveolar fibroblasts,AT2
3,AIS,expression020,AT2,Alveolar fibroblasts
3,AIS,expression020,Alveolar fibroblasts,AT2
3,AIS,uncertainty030,AT2,Alveolar fibroblasts
3,AIS,uncertainty030,Alveolar fibroblasts,AT2
3,AIS,uncertainty030,Alveolar fibroblasts,Monocyte-derived Mph
3,AIS,uncertainty030,Monocyte-derived Mph,AT2
3,AIS,uncertainty030,Monocyte-derived Mph,Alveolar fibroblasts
3,AIS,largest_library,AT2,Alveolar fibroblasts
3,AIS,largest_library,Alveolar fibroblasts,AT2
3,LUAD,all_cells_primary,AT2,Alveolar fibroblasts
3,LUAD,all_cells_primary,Alveolar fibroblasts,AT2
3,LUAD,cap500_seed1,AT2,Alveolar fibroblasts
3,LUAD,cap500_seed1,Alveolar fibroblasts,AT2
3,LUAD,cap500_seed2,AT2,Alveolar fibroblasts
3,LUAD,cap500_seed2,Alveolar fibroblasts,AT2
3,LUAD,floor30,AT2,Alveolar fibroblasts
3,LUAD,floor30,Alveolar fibroblasts,AT2
3,LUAD,expression005,AT2,Alveolar fibroblasts
3,LUAD,expression005,Alveolar fibroblasts,AT2
3,LUAD,expression020,AT2,Alveolar fibroblasts
3,LUAD,expression020,Alveolar fibroblasts,AT2
3,LUAD,uncertainty030,AT2,Alveolar fibroblasts
3,LUAD,uncertainty030,Alveolar fibroblasts,AT2
3,LUAD,uncertainty030,Alveolar fibroblasts,Monocyte-derived Mph
3,LUAD,uncertainty030,Monocyte-derived Mph,AT2
3,LUAD,uncertainty030,Monocyte-derived Mph,Alveolar fibroblasts
3,LUAD,largest_library,AT2,Alveolar fibroblasts
3,LUAD,largest_library,Alveolar fibroblasts,AT2
3,normal,all_cells_primary,AT2,Alveolar fibroblasts
3,normal,all_cells_primary,Alveolar fibroblasts,AT2
3,normal,cap500_seed1,AT2,Alveolar fibroblasts
3,normal,cap500_seed1,Alveolar fibroblasts,AT2
3,normal,cap500_seed2,AT2,Alveolar fibroblasts
3,normal,cap500_seed2,Alveolar fibroblasts,AT2
3,normal,floor30,AT2,Alveolar fibroblasts
3,normal,floor30,Alveolar fibroblasts,AT2
3,normal,floor100,AT2,Alveolar fibroblasts
3,normal,floor100,Alveolar fibroblasts,AT2
3,normal,expression005,AT2,Alveolar fibroblasts
3,normal,expression005,Alveolar fibroblasts,AT2
3,normal,expression020,AT2,Alveolar fibroblasts
3,normal,expression020,Alveolar fibroblasts,AT2
3,normal,uncertainty030,AT2,Alveolar fibroblasts
3,normal,uncertainty030,Alveolar fibroblasts,AT2
3,normal,uncertainty030,Alveolar fibroblasts,Monocyte-derived Mph
3,normal,uncertainty030,Monocyte-derived Mph,AT2
3,normal,uncertainty030,Monocyte-derived Mph,Alveolar fibroblasts
3,normal,largest_library,AT2,Alveolar fibroblasts
3,normal,largest_library,Alveolar fibroblasts,AT2
4,AAH,all_cells_primary,AT2,Adventitial fibroblasts
4,AAH,all_cells_primary,AT2,Alveolar fibroblasts
4,AAH,all_cells_primary,Adventitial fibroblasts,AT2
4,AAH,all_cells_primary,Adventitial fibroblasts,Alveolar macrophages
4,AAH,all_cells_primary,Adventitial fibroblasts,Interstitial Mph perivascular
4,AAH,all_cells_primary,Alveolar fibroblasts,AT2
4,AAH,all_cells_primary,Alveolar fibroblasts,Alveolar macrophages
4,AAH,all_cells_primary,Alveolar fibroblasts,Interstitial Mph perivascular
4,AAH,all_cells_primary,Alveolar macrophages,AT2
4,AAH,all_cells_primary,Alveolar macrophages,Adventitial fibroblasts
4,AAH,all_cells_primary,Alveolar macrophages,Alveolar fibroblasts
4,AAH,all_cells_primary,Interstitial Mph perivascular,AT2
4,AAH,all_cells_primary,Interstitial Mph perivascular,Adventitial fibroblasts
4,AAH,all_cells_primary,Interstitial Mph perivascular,Alveolar fibroblasts
4,AAH,cap500_seed1,AT2,Adventitial fibroblasts
4,AAH,cap500_seed1,AT2,Alveolar fibroblasts
4,AAH,cap500_seed1,Adventitial fibroblasts,AT2
4,AAH,cap500_seed1,Adventitial fibroblasts,Alveolar macrophages
4,AAH,cap500_seed1,Adventitial fibroblasts,Interstitial Mph perivascular
4,AAH,cap500_seed1,Alveolar fibroblasts,AT2
4,AAH,cap500_seed1,Alveolar fibroblasts,Alveolar macrophages
4,AAH,cap500_seed1,Alveolar fibroblasts,Interstitial Mph perivascular
4,AAH,cap500_seed1,Alveolar macrophages,AT2
4,AAH,cap500_seed1,Alveolar macrophages,Adventitial fibroblasts
4,AAH,cap500_seed1,Alveolar macrophages,Alveolar fibroblasts
4,AAH,cap500_seed1,Interstitial Mph perivascular,AT2
4,AAH,cap500_seed1,Interstitial Mph perivascular,Adventitial fibroblasts
4,AAH,cap500_seed1,Interstitial Mph perivascular,Alveolar fibroblasts
4,AAH,cap500_seed2,AT2,Adventitial fibroblasts
4,AAH,cap500_seed2,AT2,Alveolar fibroblasts
4,AAH,cap500_seed2,Adventitial fibroblasts,AT2
4,AAH,cap500_seed2,Adventitial fibroblasts,Alveolar macrophages
4,AAH,cap500_seed2,Adventitial fibroblasts,Interstitial Mph perivascular
4,AAH,cap500_seed2,Alveolar fibroblasts,AT2
4,AAH,cap500_seed2,Alveolar fibroblasts,Alveolar macrophages
4,AAH,cap500_seed2,Alveolar fibroblasts,Interstitial Mph perivascular
4,AAH,cap500_seed2,Alveolar macrophages,AT2
4,AAH,cap500_seed2,Alveolar macrophages,Adventitial fibroblasts
4,AAH,cap500_seed2,Alveolar macrophages,Alveolar fibroblasts
4,AAH,cap500_seed2,Interstitial Mph perivascular,AT2
4,AAH,cap500_seed2,Interstitial Mph perivascular,Adventitial fibroblasts
4,AAH,cap500_seed2,Interstitial Mph perivascular,Alveolar fibroblasts
4,AAH,floor30,AT2,Adventitial fibroblasts
4,AAH,floor30,AT2,Alveolar fibroblasts
4,AAH,floor30,Adventitial fibroblasts,AT2
4,AAH,floor30,Adventitial fibroblasts,Alveolar macrophages
4,AAH,floor30,Adventitial fibroblasts,Interstitial Mph perivascular
4,AAH,floor30,Adventitial fibroblasts,Monocyte-derived Mph
4,AAH,floor30,Alveolar fibroblasts,AT2
4,AAH,floor30,Alveolar fibroblasts,Alveolar macrophages
4,AAH,floor30,Alveolar fibroblasts,Interstitial Mph perivascular
4,AAH,floor30,Alveolar fibroblasts,Monocyte-derived Mph
4,AAH,floor30,Alveolar macrophages,AT2
4,AAH,floor30,Alveolar macrophages,Adventitial fibroblasts
4,AAH,floor30,Alveolar macrophages,Alveolar fibroblasts
4,AAH,floor30,Interstitial Mph perivascular,AT2
4,AAH,floor30,Interstitial Mph perivascular,Adventitial fibroblasts
4,AAH,floor30,Interstitial Mph perivascular,Alveolar fibroblasts
4,AAH,floor30,Monocyte-derived Mph,AT2
4,AAH,floor30,Monocyte-derived Mph,Adventitial fibroblasts
4,AAH,floor30,Monocyte-derived Mph,Alveolar fibroblasts
4,AAH,floor100,AT2,Alveolar fibroblasts
4,AAH,floor100,Alveolar fibroblasts,AT2
4,AAH,floor100,Alveolar fibroblasts,Alveolar macrophages
4,AAH,floor100,Alveolar macrophages,AT2
4,AAH,floor100,Alveolar macrophages,Alveolar fibroblasts
4,AAH,expression005,AT2,Adventitial fibroblasts
4,AAH,expression005,AT2,Alveolar fibroblasts
4,AAH,expression005,Adventitial fibroblasts,AT2
4,AAH,expression005,Adventitial fibroblasts,Alveolar macrophages
4,AAH,expression005,Adventitial fibroblasts,Interstitial Mph perivascular
4,AAH,expression005,Alveolar fibroblasts,AT2
4,AAH,expression005,Alveolar fibroblasts,Alveolar macrophages
4,AAH,expression005,Alveolar fibroblasts,Interstitial Mph perivascular
4,AAH,expression005,Alveolar macrophages,AT2
4,AAH,expression005,Alveolar macrophages,Adventitial fibroblasts
4,AAH,expression005,Alveolar macrophages,Alveolar fibroblasts
4,AAH,expression005,Interstitial Mph perivascular,AT2
4,AAH,expression005,Interstitial Mph perivascular,Adventitial fibroblasts
4,AAH,expression005,Interstitial Mph perivascular,Alveolar fibroblasts
4,AAH,expression020,AT2,Adventitial fibroblasts
4,AAH,expression020,AT2,Alveolar fibroblasts
4,AAH,expression020,Adventitial fibroblasts,AT2
4,AAH,expression020,Adventitial fibroblasts,Alveolar macrophages
4,AAH,expression020,Adventitial fibroblasts,Interstitial Mph perivascular
4,AAH,expression020,Alveolar fibroblasts,AT2
4,AAH,expression020,Alveolar fibroblasts,Alveolar macrophages
4,AAH,expression020,Alveolar fibroblasts,Interstitial Mph perivascular
4,AAH,expression020,Alveolar macrophages,AT2
4,AAH,expression020,Alveolar macrophages,Adventitial fibroblasts
4,AAH,expression020,Alveolar macrophages,Alveolar fibroblasts
4,AAH,expression020,Interstitial Mph perivascular,AT2
4,AAH,expression020,Interstitial Mph perivascular,Adventitial fibroblasts
4,AAH,expression020,Interstitial Mph perivascular,Alveolar fibroblasts
4,AAH,uncertainty030,AT2,Adventitial fibroblasts
4,AAH,uncertainty030,AT2,Alveolar fibroblasts
4,AAH,uncertainty030,Adventitial fibroblasts,AT2
4,AAH,uncertainty030,Adventitial fibroblasts,Alveolar macrophages
4,AAH,uncertainty030,Adventitial fibroblasts,Interstitial Mph perivascular
4,AAH,uncertainty030,Adventitial fibroblasts,Monocyte-derived Mph
4,AAH,uncertainty030,Alveolar fibroblasts,AT2
4,AAH,uncertainty030,Alveolar fibroblasts,Alveolar macrophages
4,AAH,uncertainty030,Alveolar fibroblasts,Interstitial Mph perivascular
4,AAH,uncertainty030,Alveolar fibroblasts,Monocyte-derived Mph
4,AAH,uncertainty030,Alveolar macrophages,AT2
4,AAH,uncertainty030,Alveolar macrophages,Adventitial fibroblasts
4,AAH,uncertainty030,Alveolar macrophages,Alveolar fibroblasts
4,AAH,uncertainty030,Interstitial Mph perivascular,AT2
4,AAH,uncertainty030,Interstitial Mph perivascular,Adventitial fibroblasts
4,AAH,uncertainty030,Interstitial Mph perivascular,Alveolar fibroblasts
4,AAH,uncertainty030,Monocyte-derived Mph,AT2
4,AAH,uncertainty030,Monocyte-derived Mph,Adventitial fibroblasts
4,AAH,uncertainty030,Monocyte-derived Mph,Alveolar fibroblasts
4,AAH,largest_library,AT2,Alveolar fibroblasts
4,AAH,largest_library,Alveolar fibroblasts,AT2
4,AAH,largest_library,Alveolar fibroblasts,Alveolar macrophages
4,AAH,largest_library,Alveolar macrophages,AT2
4,AAH,largest_library,Alveolar macrophages,Alveolar fibroblasts
4,LUAD,all_cells_primary,AT2,Adventitial fibroblasts
4,LUAD,all_cells_primary,AT2,Alveolar fibroblasts
4,LUAD,all_cells_primary,Adventitial fibroblasts,AT2
4,LUAD,all_cells_primary,Adventitial fibroblasts,Alveolar macrophages
4,LUAD,all_cells_primary,Adventitial fibroblasts,Interstitial Mph perivascular
4,LUAD,all_cells_primary,Adventitial fibroblasts,Monocyte-derived Mph
4,LUAD,all_cells_primary,Alveolar fibroblasts,AT2
4,LUAD,all_cells_primary,Alveolar fibroblasts,Alveolar macrophages
4,LUAD,all_cells_primary,Alveolar fibroblasts,Interstitial Mph perivascular
4,LUAD,all_cells_primary,Alveolar fibroblasts,Monocyte-derived Mph
4,LUAD,all_cells_primary,Alveolar macrophages,AT2
4,LUAD,all_cells_primary,Alveolar macrophages,Adventitial fibroblasts
4,LUAD,all_cells_primary,Alveolar macrophages,Alveolar fibroblasts
4,LUAD,all_cells_primary,Interstitial Mph perivascular,AT2
4,LUAD,all_cells_primary,Interstitial Mph perivascular,Adventitial fibroblasts
4,LUAD,all_cells_primary,Interstitial Mph perivascular,Alveolar fibroblasts
4,LUAD,all_cells_primary,Monocyte-derived Mph,AT2
4,LUAD,all_cells_primary,Monocyte-derived Mph,Adventitial fibroblasts
4,LUAD,all_cells_primary,Monocyte-derived Mph,Alveolar fibroblasts
4,LUAD,cap500_seed1,AT2,Adventitial fibroblasts
4,LUAD,cap500_seed1,AT2,Alveolar fibroblasts
4,LUAD,cap500_seed1,Adventitial fibroblasts,AT2
4,LUAD,cap500_seed1,Adventitial fibroblasts,Alveolar macrophages
4,LUAD,cap500_seed1,Adventitial fibroblasts,Interstitial Mph perivascular
4,LUAD,cap500_seed1,Adventitial fibroblasts,Monocyte-derived Mph
4,LUAD,cap500_seed1,Alveolar fibroblasts,AT2
4,LUAD,cap500_seed1,Alveolar fibroblasts,Alveolar macrophages
4,LUAD,cap500_seed1,Alveolar fibroblasts,Interstitial Mph perivascular
4,LUAD,cap500_seed1,Alveolar fibroblasts,Monocyte-derived Mph
4,LUAD,cap500_seed1,Alveolar macrophages,AT2
4,LUAD,cap500_seed1,Alveolar macrophages,Adventitial fibroblasts
4,LUAD,cap500_seed1,Alveolar macrophages,Alveolar fibroblasts
4,LUAD,cap500_seed1,Interstitial Mph perivascular,AT2
4,LUAD,cap500_seed1,Interstitial Mph perivascular,Adventitial fibroblasts
4,LUAD,cap500_seed1,Interstitial Mph perivascular,Alveolar fibroblasts
4,LUAD,cap500_seed1,Monocyte-derived Mph,AT2
4,LUAD,cap500_seed1,Monocyte-derived Mph,Adventitial fibroblasts
4,LUAD,cap500_seed1,Monocyte-derived Mph,Alveolar fibroblasts
4,LUAD,cap500_seed2,AT2,Adventitial fibroblasts
4,LUAD,cap500_seed2,AT2,Alveolar fibroblasts
4,LUAD,cap500_seed2,Adventitial fibroblasts,AT2
4,LUAD,cap500_seed2,Adventitial fibroblasts,Alveolar macrophages
4,LUAD,cap500_seed2,Adventitial fibroblasts,Interstitial Mph perivascular
4,LUAD,cap500_seed2,Adventitial fibroblasts,Monocyte-derived Mph
4,LUAD,cap500_seed2,Alveolar fibroblasts,AT2
4,LUAD,cap500_seed2,Alveolar fibroblasts,Alveolar macrophages
4,LUAD,cap500_seed2,Alveolar fibroblasts,Interstitial Mph perivascular
4,LUAD,cap500_seed2,Alveolar fibroblasts,Monocyte-derived Mph
4,LUAD,cap500_seed2,Alveolar macrophages,AT2
4,LUAD,cap500_seed2,Alveolar macrophages,Adventitial fibroblasts
4,LUAD,cap500_seed2,Alveolar macrophages,Alveolar fibroblasts
4,LUAD,cap500_seed2,Interstitial Mph perivascular,AT2
4,LUAD,cap500_seed2,Interstitial Mph perivascular,Adventitial fibroblasts
4,LUAD,cap500_seed2,Interstitial Mph perivascular,Alveolar fibroblasts
4,LUAD,cap500_seed2,Monocyte-derived Mph,AT2
4,LUAD,cap500_seed2,Monocyte-derived Mph,Adventitial fibroblasts
4,LUAD,cap500_seed2,Monocyte-derived Mph,Alveolar fibroblasts
4,LUAD,floor30,AT2,Adventitial fibroblasts
4,LUAD,floor30,AT2,Alveolar fibroblasts
4,LUAD,floor30,AT2,Peribronchial fibroblasts
4,LUAD,floor30,AT2 proliferating,Adventitial fibroblasts
4,LUAD,floor30,AT2 proliferating,Alveolar fibroblasts
4,LUAD,floor30,AT2 proliferating,Peribronchial fibroblasts
4,LUAD,floor30,Adventitial fibroblasts,AT2
4,LUAD,floor30,Adventitial fibroblasts,AT2 proliferating
4,LUAD,floor30,Adventitial fibroblasts,Alveolar macrophages
4,LUAD,floor30,Adventitial fibroblasts,Interstitial Mph perivascular
4,LUAD,floor30,Adventitial fibroblasts,Monocyte-derived Mph
4,LUAD,floor30,Alveolar fibroblasts,AT2
4,LUAD,floor30,Alveolar fibroblasts,AT2 proliferating
4,LUAD,floor30,Alveolar fibroblasts,Alveolar macrophages
4,LUAD,floor30,Alveolar fibroblasts,Interstitial Mph perivascular
4,LUAD,floor30,Alveolar fibroblasts,Monocyte-derived Mph
4,LUAD,floor30,Alveolar macrophages,AT2
4,LUAD,floor30,Alveolar macrophages,AT2 proliferating
4,LUAD,floor30,Alveolar macrophages,Adventitial fibroblasts
4,LUAD,floor30,Alveolar macrophages,Alveolar fibroblasts
4,LUAD,floor30,Alveolar macrophages,Peribronchial fibroblasts
4,LUAD,floor30,Interstitial Mph perivascular,AT2
4,LUAD,floor30,Interstitial Mph perivascular,AT2 proliferating
4,LUAD,floor30,Interstitial Mph perivascular,Adventitial fibroblasts
4,LUAD,floor30,Interstitial Mph perivascular,Alveolar fibroblasts
4,LUAD,floor30,Interstitial Mph perivascular,Peribronchial fibroblasts
4,LUAD,floor30,Monocyte-derived Mph,AT2
4,LUAD,floor30,Monocyte-derived Mph,AT2 proliferating
4,LUAD,floor30,Monocyte-derived Mph,Adventitial fibroblasts
4,LUAD,floor30,Monocyte-derived Mph,Alveolar fibroblasts
4,LUAD,floor30,Monocyte-derived Mph,Peribronchial fibroblasts
4,LUAD,floor30,Peribronchial fibroblasts,AT2
4,LUAD,floor30,Peribronchial fibroblasts,AT2 proliferating
4,LUAD,floor30,Peribronchial fibroblasts,Alveolar macrophages
4,LUAD,floor30,Peribronchial fibroblasts,Interstitial Mph perivascular
4,LUAD,floor30,Peribronchial fibroblasts,Monocyte-derived Mph
4,LUAD,floor100,AT2,Alveolar fibroblasts
4,LUAD,floor100,Alveolar fibroblasts,AT2
4,LUAD,floor100,Alveolar fibroblasts,Alveolar macrophages
4,LUAD,floor100,Alveolar fibroblasts,Interstitial Mph perivascular
4,LUAD,floor100,Alveolar macrophages,AT2
4,LUAD,floor100,Alveolar macrophages,Alveolar fibroblasts
4,LUAD,floor100,Interstitial Mph perivascular,AT2
4,LUAD,floor100,Interstitial Mph perivascular,Alveolar fibroblasts
4,LUAD,expression005,AT2,Adventitial fibroblasts
4,LUAD,expression005,AT2,Alveolar fibroblasts
4,LUAD,expression005,Adventitial fibroblasts,AT2
4,LUAD,expression005,Adventitial fibroblasts,Alveolar macrophages
4,LUAD,expression005,Adventitial fibroblasts,Interstitial Mph perivascular
4,LUAD,expression005,Adventitial fibroblasts,Monocyte-derived Mph
4,LUAD,expression005,Alveolar fibroblasts,AT2
4,LUAD,expression005,Alveolar fibroblasts,Alveolar macrophages
4,LUAD,expression005,Alveolar fibroblasts,Interstitial Mph perivascular
4,LUAD,expression005,Alveolar fibroblasts,Monocyte-derived Mph
4,LUAD,expression005,Alveolar macrophages,AT2
4,LUAD,expression005,Alveolar macrophages,Adventitial fibroblasts
4,LUAD,expression005,Alveolar macrophages,Alveolar fibroblasts
4,LUAD,expression005,Interstitial Mph perivascular,AT2
4,LUAD,expression005,Interstitial Mph perivascular,Adventitial fibroblasts
4,LUAD,expression005,Interstitial Mph perivascular,Alveolar fibroblasts
4,LUAD,expression005,Monocyte-derived Mph,AT2
4,LUAD,expression005,Monocyte-derived Mph,Adventitial fibroblasts
4,LUAD,expression005,Monocyte-derived Mph,Alveolar fibroblasts
4,LUAD,expression020,AT2,Adventitial fibroblasts
4,LUAD,expression020,AT2,Alveolar fibroblasts
4,LUAD,expression020,Adventitial fibroblasts,AT2
4,LUAD,expression020,Adventitial fibroblasts,Alveolar macrophages
4,LUAD,expression020,Adventitial fibroblasts,Interstitial Mph perivascular
4,LUAD,expression020,Adventitial fibroblasts,Monocyte-derived Mph
4,LUAD,expression020,Alveolar fibroblasts,AT2
4,LUAD,expression020,Alveolar fibroblasts,Alveolar macrophages
4,LUAD,expression020,Alveolar fibroblasts,Interstitial Mph perivascular
4,LUAD,expression020,Alveolar fibroblasts,Monocyte-derived Mph
4,LUAD,expression020,Alveolar macrophages,AT2
4,LUAD,expression020,Alveolar macrophages,Adventitial fibroblasts
4,LUAD,expression020,Alveolar macrophages,Alveolar fibroblasts
4,LUAD,expression020,Interstitial Mph perivascular,AT2
4,LUAD,expression020,Interstitial Mph perivascular,Adventitial fibroblasts
4,LUAD,expression020,Interstitial Mph perivascular,Alveolar fibroblasts
4,LUAD,expression020,Monocyte-derived Mph,AT2
4,LUAD,expression020,Monocyte-derived Mph,Adventitial fibroblasts
4,LUAD,expression020,Monocyte-derived Mph,Alveolar fibroblasts
4,LUAD,uncertainty030,AT2,Adventitial fibroblasts
4,LUAD,uncertainty030,AT2,Alveolar fibroblasts
4,LUAD,uncertainty030,AT2,Peribronchial fibroblasts
4,LUAD,uncertainty030,AT2 proliferating,Adventitial fibroblasts
4,LUAD,uncertainty030,AT2 proliferating,Alveolar fibroblasts
4,LUAD,uncertainty030,AT2 proliferating,Peribronchial fibroblasts
4,LUAD,uncertainty030,Adventitial fibroblasts,AT2
4,LUAD,uncertainty030,Adventitial fibroblasts,AT2 proliferating
4,LUAD,uncertainty030,Adventitial fibroblasts,Alveolar macrophages
4,LUAD,uncertainty030,Adventitial fibroblasts,Interstitial Mph perivascular
4,LUAD,uncertainty030,Adventitial fibroblasts,Monocyte-derived Mph
4,LUAD,uncertainty030,Alveolar fibroblasts,AT2
4,LUAD,uncertainty030,Alveolar fibroblasts,AT2 proliferating
4,LUAD,uncertainty030,Alveolar fibroblasts,Alveolar macrophages
4,LUAD,uncertainty030,Alveolar fibroblasts,Interstitial Mph perivascular
4,LUAD,uncertainty030,Alveolar fibroblasts,Monocyte-derived Mph
4,LUAD,uncertainty030,Alveolar macrophages,AT2
4,LUAD,uncertainty030,Alveolar macrophages,AT2 proliferating
4,LUAD,uncertainty030,Alveolar macrophages,Adventitial fibroblasts
4,LUAD,uncertainty030,Alveolar macrophages,Alveolar fibroblasts
4,LUAD,uncertainty030,Alveolar macrophages,Peribronchial fibroblasts
4,LUAD,uncertainty030,Interstitial Mph perivascular,AT2
4,LUAD,uncertainty030,Interstitial Mph perivascular,AT2 proliferating
4,LUAD,uncertainty030,Interstitial Mph perivascular,Adventitial fibroblasts
4,LUAD,uncertainty030,Interstitial Mph perivascular,Alveolar fibroblasts
4,LUAD,uncertainty030,Interstitial Mph perivascular,Peribronchial fibroblasts
4,LUAD,uncertainty030,Monocyte-derived Mph,AT2
4,LUAD,uncertainty030,Monocyte-derived Mph,AT2 proliferating
4,LUAD,uncertainty030,Monocyte-derived Mph,Adventitial fibroblasts
4,LUAD,uncertainty030,Monocyte-derived Mph,Alveolar fibroblasts
4,LUAD,uncertainty030,Monocyte-derived Mph,Peribronchial fibroblasts
4,LUAD,uncertainty030,Peribronchial fibroblasts,AT2
4,LUAD,uncertainty030,Peribronchial fibroblasts,AT2 proliferating
4,LUAD,uncertainty030,Peribronchial fibroblasts,Alveolar macrophages
4,LUAD,uncertainty030,Peribronchial fibroblasts,Interstitial Mph perivascular
4,LUAD,uncertainty030,Peribronchial fibroblasts,Monocyte-derived Mph
4,LUAD,largest_library,AT2,Adventitial fibroblasts
4,LUAD,largest_library,AT2,Alveolar fibroblasts
4,LUAD,largest_library,Adventitial fibroblasts,AT2
4,LUAD,largest_library,Adventitial fibroblasts,Alveolar macrophages
4,LUAD,largest_library,Adventitial fibroblasts,Interstitial Mph perivascular
4,LUAD,largest_library,Adventitial fibroblasts,Monocyte-derived Mph
4,LUAD,largest_library,Alveolar fibroblasts,AT2
4,LUAD,largest_library,Alveolar fibroblasts,Alveolar macrophages
4,LUAD,largest_library,Alveolar fibroblasts,Interstitial Mph perivascular
4,LUAD,largest_library,Alveolar fibroblasts,Monocyte-derived Mph
4,LUAD,largest_library,Alveolar macrophages,AT2
4,LUAD,largest_library,Alveolar macrophages,Adventitial fibroblasts
4,LUAD,largest_library,Alveolar macrophages,Alveolar fibroblasts
4,LUAD,largest_library,Interstitial Mph perivascular,AT2
4,LUAD,largest_library,Interstitial Mph perivascular,Adventitial fibroblasts
4,LUAD,largest_library,Interstitial Mph perivascular,Alveolar fibroblasts
4,LUAD,largest_library,Monocyte-derived Mph,AT2
4,LUAD,largest_library,Monocyte-derived Mph,Adventitial fibroblasts
4,LUAD,largest_library,Monocyte-derived Mph,Alveolar fibroblasts
4,normal,all_cells_primary,AT2,Adventitial fibroblasts
4,normal,all_cells_primary,AT2,Alveolar fibroblasts
4,normal,all_cells_primary,Adventitial fibroblasts,AT2
4,normal,all_cells_primary,Adventitial fibroblasts,Alveolar macrophages
4,normal,all_cells_primary,Adventitial fibroblasts,Interstitial Mph perivascular
4,normal,all_cells_primary,Adventitial fibroblasts,Monocyte-derived Mph
4,normal,all_cells_primary,Alveolar fibroblasts,AT2
4,normal,all_cells_primary,Alveolar fibroblasts,Alveolar macrophages
4,normal,all_cells_primary,Alveolar fibroblasts,Interstitial Mph perivascular
4,normal,all_cells_primary,Alveolar fibroblasts,Monocyte-derived Mph
4,normal,all_cells_primary,Alveolar macrophages,AT2
4,normal,all_cells_primary,Alveolar macrophages,Adventitial fibroblasts
4,normal,all_cells_primary,Alveolar macrophages,Alveolar fibroblasts
4,normal,all_cells_primary,Interstitial Mph perivascular,AT2
4,normal,all_cells_primary,Interstitial Mph perivascular,Adventitial fibroblasts
4,normal,all_cells_primary,Interstitial Mph perivascular,Alveolar fibroblasts
4,normal,all_cells_primary,Monocyte-derived Mph,AT2
4,normal,all_cells_primary,Monocyte-derived Mph,Adventitial fibroblasts
4,normal,all_cells_primary,Monocyte-derived Mph,Alveolar fibroblasts
4,normal,cap500_seed1,AT2,Adventitial fibroblasts
4,normal,cap500_seed1,AT2,Alveolar fibroblasts
4,normal,cap500_seed1,Adventitial fibroblasts,AT2
4,normal,cap500_seed1,Adventitial fibroblasts,Alveolar macrophages
4,normal,cap500_seed1,Adventitial fibroblasts,Interstitial Mph perivascular
4,normal,cap500_seed1,Adventitial fibroblasts,Monocyte-derived Mph
4,normal,cap500_seed1,Alveolar fibroblasts,AT2
4,normal,cap500_seed1,Alveolar fibroblasts,Alveolar macrophages
4,normal,cap500_seed1,Alveolar fibroblasts,Interstitial Mph perivascular
4,normal,cap500_seed1,Alveolar fibroblasts,Monocyte-derived Mph
4,normal,cap500_seed1,Alveolar macrophages,AT2
4,normal,cap500_seed1,Alveolar macrophages,Adventitial fibroblasts
4,normal,cap500_seed1,Alveolar macrophages,Alveolar fibroblasts
4,normal,cap500_seed1,Interstitial Mph perivascular,AT2
4,normal,cap500_seed1,Interstitial Mph perivascular,Adventitial fibroblasts
4,normal,cap500_seed1,Interstitial Mph perivascular,Alveolar fibroblasts
4,normal,cap500_seed1,Monocyte-derived Mph,AT2
4,normal,cap500_seed1,Monocyte-derived Mph,Adventitial fibroblasts
4,normal,cap500_seed1,Monocyte-derived Mph,Alveolar fibroblasts
4,normal,cap500_seed2,AT2,Adventitial fibroblasts
4,normal,cap500_seed2,AT2,Alveolar fibroblasts
4,normal,cap500_seed2,Adventitial fibroblasts,AT2
4,normal,cap500_seed2,Adventitial fibroblasts,Alveolar macrophages
4,normal,cap500_seed2,Adventitial fibroblasts,Interstitial Mph perivascular
4,normal,cap500_seed2,Adventitial fibroblasts,Monocyte-derived Mph
4,normal,cap500_seed2,Alveolar fibroblasts,AT2
4,normal,cap500_seed2,Alveolar fibroblasts,Alveolar macrophages
4,normal,cap500_seed2,Alveolar fibroblasts,Interstitial Mph perivascular
4,normal,cap500_seed2,Alveolar fibroblasts,Monocyte-derived Mph
4,normal,cap500_seed2,Alveolar macrophages,AT2
4,normal,cap500_seed2,Alveolar macrophages,Adventitial fibroblasts
4,normal,cap500_seed2,Alveolar macrophages,Alveolar fibroblasts
4,normal,cap500_seed2,Interstitial Mph perivascular,AT2
4,normal,cap500_seed2,Interstitial Mph perivascular,Adventitial fibroblasts
